transcript_id,DMSO.1,DMSO.2,DMSO.3,JG1.1,JG1.2,JG1.3,M4.1,M4.2,M4.3
STM14_RS02260,1292,417,671,308,153,615,775,280,537
STM14_RS02265,341,289,268,178,268,365,357,272,398
STM14_RS02270,732,792,627,541,639,770,653,745,649
STM14_RS02275,877,529,433,377,470,401,741,450,628
STM14_RS02285,187,196,91,87,104,95,210,140,167
STM14_RS02290,228,155,92,57,61,81,220,91,292
STM14_RS02295,403,281,293,166,211,162,503,231,499
STM14_RS02300,1120,675,899,565,675,801,1205,603,1057
STM14_RS02305,45,27,28,12,18,17,59,12,28
STM14_RS02310,40,16,32,8,11,13,37,10,18
STM14_RS02315,155,66,80,36,65,51,134,46,90
STM14_RS02325,1780,1084,832,626,1157,636,2135,1638,1573
STM14_RS02330,1048,511,446,236,399,281,1073,473,732
STM14_RS02335,250,144,136,81,92,124,405,93,277
STM14_RS02340,36,30,38,16,9,20,99,31,82
STM14_RS02345,97,56,41,19,23,34,162,43,104
STM14_RS02350,155,60,53,14,36,37,140,66,78
STM14_RS02355,105,108,41,14,45,28,86,39,104
STM14_RS02360,372,217,269,193,170,245,287,211,375
STM14_RS02365,403,242,338,257,277,374,395,266,434
STM14_RS02370,84,28,31,22,20,47,41,45,55
STM14_RS02375,908,548,936,1641,1376,1062,594,800,673
STM14_RS02380,938,853,906,1355,1293,983,1016,1441,879
STM14_RS02385,438,285,352,494,509,362,354,473,297
STM14_RS02395,1067,852,1005,942,707,4066,790,673,1257
STM14_RS02400,6262,6912,5119,3293,3780,4159,6103,5618,7150
STM14_RS02405,7523,7252,6307,4271,4347,5282,7994,9179,10643
STM14_RS02410,6779,1522,395,570,1130,448,6258,4775,3782
STM14_RS02415,12334,6646,2740,4603,7481,3308,25360,42067,27778
STM14_RS02420,3928,1860,1279,1816,2950,1635,6894,13640,8373
STM14_RS02425,761,391,254,263,489,239,942,1347,1031
STM14_RS02430,2771,2433,3176,1951,2188,2891,2080,2098,2234
STM14_RS02435,1690,1251,1172,615,636,1007,1523,723,1500
STM14_RS02440,1231,768,1142,658,686,1086,937,714,891
STM14_RS02445,24739,7692,2266,2116,4627,2404,15635,9757,5546
STM14_RS02450,2765,4000,7080,3657,2855,3384,2249,2678,1526
STM14_RS02455,8749,7121,11493,3782,4251,4026,13458,12312,17831
STM14_RS02460,19644,18069,28725,14817,8775,9733,39174,52033,49717
STM14_RS02465,16936,15203,22276,14905,6534,7401,33255,59663,55988
STM14_RS02470,8434,8129,10650,9527,2858,4522,15141,44139,43910
STM14_RS02475,10675,7271,9826,8490,7277,9919,7789,8720,12672
STM14_RS02480,5605,5065,3575,2824,3779,3264,6999,5381,5113
STM14_RS02485,169,85,70,27,58,28,410,46,233
STM14_RS02490,1639,1520,1467,1152,1312,1335,1685,1619,2129
STM14_RS02495,3985,4178,2983,1893,3285,3232,3377,3544,5109
STM14_RS02500,1854,1440,1354,1101,1035,1410,1549,1584,2706
STM14_RS02505,3933,2196,2663,5803,3514,3643,5061,6953,7964
STM14_RS02510,1105,1166,1231,989,790,1268,732,704,797
STM14_RS02515,4675,5105,4602,2998,2633,4043,3823,3243,5194
STM14_RS02520,4828,2151,1639,1818,1969,2088,3685,2029,2555
STM14_RS02525,677,316,387,264,240,377,819,296,768
STM14_RS02530,1832,1275,504,400,1565,1104,1273,966,816
STM14_RS02535,13597,5916,2539,5920,8060,4000,7606,5707,3600
STM14_RS02540,7215,4553,3826,5855,5168,4292,5962,4780,4952
STM14_RS02545,9270,9638,9889,9729,9497,11539,7028,8668,5325
STM14_RS02550,1594,834,1185,918,1198,888,1114,813,1175
STM14_RS02555,10511,8005,10822,9247,9473,7243,6776,8775,7869
STM14_RS02560,15075,10438,7253,6368,5580,5394,10915,7158,7576
STM14_RS02565,9777,9283,7322,4582,4332,4603,8876,5935,9503
STM14_RS02570,4487,2734,2513,1504,1611,2325,3230,1973,3204
STM14_RS02575,3139,2175,2540,1109,1201,2157,3191,1776,3612
STM14_RS02580,932,587,774,413,574,845,795,727,744
STM14_RS02585,1014,555,814,469,516,870,839,569,1122
